id,state_name,state_id,country_id,general_info
11,Ebonyi,11,1,"{""stateDescription"": ""One of the newer Nigerian states, Ebonyi is predominantly Igbo and known for its salt lakes and rice farming."", ""localGovernmentsCount"": 13, ""ethnicGroupsCount"": 3, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
12,Edo,12,1,"{""stateDescription"": ""Home to the ancient Benin Kingdom, Edo State is renowned for its bronze casting art and rich Bini cultural heritage."", ""localGovernmentsCount"": 18, ""ethnicGroupsCount"": 10, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
13,Ekiti,13,1,"{""stateDescription"": ""A predominantly Yoruba state in southwestern Nigeria known for its high concentration of educated citizens and hill terrain."", ""localGovernmentsCount"": 16, ""ethnicGroupsCount"": 2, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
14,Enugu,14,1,"{""stateDescription"": ""The capital of the old Eastern Region, Enugu is the cultural and political heart of Igbo land."", ""localGovernmentsCount"": 17, ""ethnicGroupsCount"": 4, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
15,Gombe,15,1,"{""stateDescription"": ""A northeastern state traversed by the Gongola River, home to the Tangale, Tera, and Fulani communities."", ""localGovernmentsCount"": 11, ""ethnicGroupsCount"": 20, ""endangeredGroupsCount"": 2, ""endangeredLanguagesCount"": 4}"
16,Imo,16,1,"{""stateDescription"": ""A southeastern Igbo state known for its oil palm, Mbari art tradition, and the Oguta Lake."", ""localGovernmentsCount"": 27, ""ethnicGroupsCount"": 3, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
17,Jigawa,17,1,"{""stateDescription"": ""A predominantly Hausa-Fulani state in northwestern Nigeria known for groundnut farming and Islamic scholarship."", ""localGovernmentsCount"": 27, ""ethnicGroupsCount"": 5, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
18,Kaduna,18,1,"{""stateDescription"": ""A major northern state with a diverse mix of Hausa, Fulani, Gbagyi, and other ethnic communities, and a significant industrial base."", ""localGovernmentsCount"": 23, ""ethnicGroupsCount"": 60, ""endangeredGroupsCount"": 3, ""endangeredLanguagesCount"": 6}"
19,Kano,19,1,"{""stateDescription"": ""Nigeria's second most populous state and the commercial hub of the north, with a millennium-old Hausa trading history."", ""localGovernmentsCount"": 44, ""ethnicGroupsCount"": 10, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
20,Katsina,20,1,"{""stateDescription"": ""Historically one of the Hausa city-states, Katsina borders Niger and is an important center of Islamic learning."", ""localGovernmentsCount"": 34, ""ethnicGroupsCount"": 8, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
21,Kebbi,21,1,"{""stateDescription"": ""Located in the far northwest, Kebbi is known for its annual fishing festival on the Argungu River."", ""localGovernmentsCount"": 21, ""ethnicGroupsCount"": 12, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
22,Kogi,22,1,"{""stateDescription"": ""Located at the confluence of the Niger and Benue rivers, Kogi is home to the Igala, Ebira, and Okun peoples."", ""localGovernmentsCount"": 21, ""ethnicGroupsCount"": 12, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
23,Kwara,23,1,"{""stateDescription"": ""A north-central state with a mix of Yoruba, Nupe, Bariba, and Fulani communities along the Niger River."", ""localGovernmentsCount"": 16, ""ethnicGroupsCount"": 10, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
24,Lagos,24,1,"{""stateDescription"": ""Nigeria's commercial capital and most populous state, home to the nation's largest city and economic hub."", ""localGovernmentsCount"": 20, ""ethnicGroupsCount"": 50, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
25,Nasarawa,25,1,"{""stateDescription"": ""A north-central state rich in solid minerals and home to over 50 ethnic groups including the Eggon, Mada, and Tiv."", ""localGovernmentsCount"": 13, ""ethnicGroupsCount"": 50, ""endangeredGroupsCount"": 2, ""endangeredLanguagesCount"": 4}"
26,Niger,26,1,"{""stateDescription"": ""Nigeria's largest state by area, home to the Kainji Dam and diverse communities including Nupe, Gbagyi, and Hausa."", ""localGovernmentsCount"": 25, ""ethnicGroupsCount"": 30, ""endangeredGroupsCount"": 2, ""endangeredLanguagesCount"": 5}"
27,Ogun,27,1,"{""stateDescription"": ""Located between Lagos and Oyo, Ogun is Nigeria's industrial gateway and cradle of Egba and Ijebu Yoruba culture."", ""localGovernmentsCount"": 20, ""ethnicGroupsCount"": 5, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
28,Ondo,28,1,"{""stateDescription"": ""A southwestern state known for its cocoa production, the Yoruba Ondo Kingdom, and Bitumen deposits along its coast."", ""localGovernmentsCount"": 18, ""ethnicGroupsCount"": 5, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
29,Osun,29,1,"{""stateDescription"": ""Home to the UNESCO-listed Osun-Osogbo Sacred Grove and the ancient Ife Kingdom, cradle of Yoruba civilization."", ""localGovernmentsCount"": 30, ""ethnicGroupsCount"": 4, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
30,Oyo,30,1,"{""stateDescription"": ""The historic seat of the Oyo Empire, Nigeria's most extensive pre-colonial Yoruba empire, now a major agricultural state."", ""localGovernmentsCount"": 33, ""ethnicGroupsCount"": 5, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
31,Plateau,31,1,"{""stateDescription"": ""Situated on Nigeria's central highlands, Plateau is one of the most ethnically diverse states with over 50 distinct groups."", ""localGovernmentsCount"": 17, ""ethnicGroupsCount"": 54, ""endangeredGroupsCount"": 3, ""endangeredLanguagesCount"": 6}"
32,Rivers,32,1,"{""stateDescription"": ""Nigeria's oil capital, home to Port Harcourt and diverse Ijaw, Ikwerre, Ogoni, and Ekpeye communities."", ""localGovernmentsCount"": 23, ""ethnicGroupsCount"": 30, ""endangeredGroupsCount"": 2, ""endangeredLanguagesCount"": 4}"
33,Sokoto,33,1,"{""stateDescription"": ""The seat of the Sokoto Caliphate, one of the most powerful Islamic empires in sub-Saharan African history."", ""localGovernmentsCount"": 23, ""ethnicGroupsCount"": 8, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
34,Taraba,34,1,"{""stateDescription"": ""A southeastern state bordering Cameroon, Taraba is one of the most ethnically diverse in Nigeria with over 80 groups."", ""localGovernmentsCount"": 16, ""ethnicGroupsCount"": 80, ""endangeredGroupsCount"": 5, ""endangeredLanguagesCount"": 12}"
35,Yobe,35,1,"{""stateDescription"": ""A northeastern state bordering Niger, home to Kanuri, Fulani, and Shuwa Arab communities."", ""localGovernmentsCount"": 17, ""ethnicGroupsCount"": 15, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 3}"
36,Zamfara,36,1,"{""stateDescription"": ""A northwestern state known for gold mining and the first state to implement Sharia law in post-military Nigeria."", ""localGovernmentsCount"": 14, ""ethnicGroupsCount"": 6, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
